OTU	NSF22.NOVI.7M9	NSF14.NOVI.PM35	NSF22.NOVI.7M6	NSF22.NOVI.7M11	NSF22.NOVI.7M8	NSF6.NOVI.PM29	NSF22.NOVI.1M34	NSF22.NOVI.7M7	NSF6.NOVI.1M33	NSF22.NOVI.7M15	NSF6.NOVI.PM25	NSF22.NOVI.PM30	NSF14.NOVI.1M42	NSF14.NOVI.1M29	NSF22.NOVI.7M10	NSF22.NOVI.7M14	NSF14.NOVI.PM38	NSF22.NOVI.7M12	NSF22.NOVI.PM37	NSF22.NOVI.7M4	NSF6.NOVI.8M3	NSF6.NOVI.6M5
05fca624332f3e060efcff1d391a9369	0	0	0	0	0	0	0	12.1939393939394	0	0	0	0	0	0	0	37.8363636363636	0	0	0	0	0	0
06094875913b945b59766b9fa5a73b36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0623ab7d45e188fc2e7a417610519d6c	0	0	2.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062a6a55d6c81c8a614cb6cbb648003d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0646e2d2b6879bcfa7bd2d5fbd14a8de	0	0	0	0	0	0	0	0	0	70.8381642512077	0	0	0	0	0	52262.6618357488	0	0	0	0	0	0
0663b06ea796b0199377151467b7fc09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0665c298d8dcf7d257ae8ccf9ed14b3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645.475862068966	0	0	0
068c5ca5a5c7da6e1838de061f9a833e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06a5ac57d31b062f79ca848747f6e327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06b6ca186d20f299c07da509a51aa1c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06eb3ddd0bb09e61c6351c962d5e82f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.18253968254	0	0	0	0	0
