OTU	NSF22.NOVI.1M15	NSF22.NOVI.1M9	NSF22.NOVI.1M6	NSF22.NOVI.1M13	NSF22.NOVI.1M8	NSF14.NOVI.1M26	NSF6.NOVI.1M30	NSF14.NOVI.1M31	NSF14.NOVI.PM44	NSF6.NOVI.PM35	NSF22.NOVI.1M7	NSF6.NOVI.PM22	NSF14.NOVI.1M39	NSF22.NOVI.PM27	NSF22.NOVI.1M14	NSF6.NOVI.PM26	NSF22.NOVI.1M31	NSF22.NOVI.1M10	NSF22.NOVI.1M12	NSF22.NOVI.1M11	NSF22.NOVI.6M4	NSF6.NOVI.7M2	NSF14.NOVI.7M3
0ec1df4fe4d043317e7d5ca9e7a5ac0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f187e893cc5e0300d234235ef3e2694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f82bb9276c00f40417d065514718561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f9a15d5f90df2d074590dcd9ce43769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.86732673267327	0	0	0	0	0	0	0	0
0fa11a022dd93c4a197f2f36fd84fd84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fa3c8bf26b8dbf704e9fc60843360f1	0	0	0	0	0	0	0	48.0301204819277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fa5b382c7e3138d4093e079babc377e	0	0	0	0	0	0	0	0	8.98387096774194	0	0	0	0	0	0	0	0	0	469.560483870968	89.3911290322581	0	0	0
0fd3c82a114571adede4dcecb363f8fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fed91066650d487a5d698599b9020ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.1356932153392	0	0	0	0
0ff4a6b7bc39eb3dac5c4d45256cc406	0	0	0	36.5384615384615	0	0	0	0	0	0	924.254273504274	0	0	0	296.399572649573	0	873.816239316239	0	13.4508547008547	71007.8290598291	0	0	0
