OTU	NSF22.NOVI.1M21	NSF14.NOVI.PM17	NSF22.NOVI.PM19	NSF22.NOVI.1M17	NSF14.NOVI.1M24	NSF6.NOVI.PM16	NSF6.NOVI.PM20	NSF22.NOVI.1M23	NSF14.NOVI.PM22	NSF14.NOVI.1M16	NSF14.NOVI.2M9	NSF14.NOVI.2M7	NSF14.NOVI.2M13	NSF14.NOVI.2M15	NSF14.NOVI.2M12	NSF14.NOVI.2M6	NSF14.NOVI.2M14	NSF14.NOVI.2M8	NSF14.NOVI.2M11	NSF6.NOVI.3M5	NSF22.NOVI.4M5	NSF6.NOVI.4M3	NSF22.NOVI.3M1	NSF22.NOVI.5M2	NSF6.NOVI.5M2	NSF14.NOVI.4M5	NSF14.NOVI.5M3	NSF14.NOVI.3M5	NSF14.NOVI.6M5
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	21.214953271028	0	0	0	0	0	0	0	0	0	0	0	0	47.803738317757	23.9906542056075	0	0	0	206.981308411215	0	0	0	0	0	0	0	0	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.53829787234042	0	1.55
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a533c87ed1b0a0fbae13482427dd15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045b52daf372bbcb6fcbd25c4ac150c2	0	0	0	0	0	0	0	11.408719346049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046b8313b63c590a0c5db6c12c831863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
047735756066cc08e1422d33659f78e3	0	0	0	0	0	0	0	7.50537634408602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0483511ad55f6bc8287174dcf75eabfe	0	14.5492610837438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05276dabd97bb322a736fa48f2e6a453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05368ee8187b415dd6d4748d334c4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0556f46a264fa18ad669ed8be2d40016	0	0	0	0	0	0	35.6639784946236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0576d45a911b53117032d760eb39d689	0	0	0	0	0	0	0	0	143.148275862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05936d8187a41ccd30c4f12e3feb6a90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05eb3c32f1d3b3be2bdc07e5516375e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05fca624332f3e060efcff1d391a9369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06094875913b945b59766b9fa5a73b36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
