OTU	NSF14.NOVI.1M22	NSF6.NOVI.1M20	NSF6.NOVI.1M16	NSF22.NOVI.PM24	NSF14.NOVI.PM25	NSF22.NOVI.PM22	NSF22.NOVI.1M19	NSF14.NOVI.1M19	NSF14.NOVI.1M17	NSF14.NOVI.3M7	NSF14.NOVI.3M13	NSF14.NOVI.3M9	NSF14.NOVI.3M11	NSF14.NOVI.3M15	NSF22.NOVI.PM18	NSF14.NOVI.3M8	NSF14.NOVI.3M12	NSF14.NOVI.3M14	NSF14.NOVI.3M10	NSF14.NOVI.3M6	NSF6.NOVI.5M3	NSF6.NOVI.3M1	NSF22.NOVI.3M2	NSF22.NOVI.5M3	NSF22.NOVI.6M1	NSF6.NOVI.4M1	NSF6.NOVI.4M4	NSF22.NOVI.4M1	NSF14.NOVI.4M1	NSF14.NOVI.5M4
05368ee8187b415dd6d4748d334c4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0556f46a264fa18ad669ed8be2d40016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0576d45a911b53117032d760eb39d689	0	0	0	183.206896551724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05936d8187a41ccd30c4f12e3feb6a90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05eb3c32f1d3b3be2bdc07e5516375e1	0	0	0	0	0	1589.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05fca624332f3e060efcff1d391a9369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06094875913b945b59766b9fa5a73b36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0623ab7d45e188fc2e7a417610519d6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062a6a55d6c81c8a614cb6cbb648003d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0646e2d2b6879bcfa7bd2d5fbd14a8de	0	0	0	0	0	0	0	864.625603864734	0	0	3351.05555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948.75120772947	0
0663b06ea796b0199377151467b7fc09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0665c298d8dcf7d257ae8ccf9ed14b3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
068c5ca5a5c7da6e1838de061f9a833e	0	21.7427385892116	14.9045643153527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06a5ac57d31b062f79ca848747f6e327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06b6ca186d20f299c07da509a51aa1c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06eb3ddd0bb09e61c6351c962d5e82f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06f0739e32f0ad31404affc34baa8a47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
