"cooc_method","interaction","interactionType","Label","name","pval","selected","shared interaction","shared name","weight"
"correl_spearman","","copresence","9f7b26b2ddcb84eb2148492ccd223d83->49e6de292b588a12096e3607e2f9a9c3","9f7b26b2ddcb84eb2148492ccd223d83->49e6de292b588a12096e3607e2f9a9c3=correl_spearman","2.5079405663319676E-8","false","","9f7b26b2ddcb84eb2148492ccd223d83->49e6de292b588a12096e3607e2f9a9c3=correl_spearman","0.72653276"
"correl_spearman","","copresence","66c1c811b87a0c2b7f895b5e3a0df804->e2fdfeef02f86f9184d8395751fe9fe2","66c1c811b87a0c2b7f895b5e3a0df804->e2fdfeef02f86f9184d8395751fe9fe2=correl_spearman","3.8261018575624917E-8","false","","66c1c811b87a0c2b7f895b5e3a0df804->e2fdfeef02f86f9184d8395751fe9fe2=correl_spearman","0.72044276"
"correl_spearman","","copresence","e1ed0e5b2faf4eab90d6940d8b593e55->dd8e42ae13b1a9dd7135cee32a1b6ef1","e1ed0e5b2faf4eab90d6940d8b593e55->dd8e42ae13b1a9dd7135cee32a1b6ef1=correl_spearman","0.0","false","","e1ed0e5b2faf4eab90d6940d8b593e55->dd8e42ae13b1a9dd7135cee32a1b6ef1=correl_spearman","1.0"
"correl_spearman","","copresence","3879d6db744bd48ab816601030b33587->ce2f912f8d1ca391bbaf7a6e9d7c9930","3879d6db744bd48ab816601030b33587->ce2f912f8d1ca391bbaf7a6e9d7c9930=correl_spearman","1.0744820588826087E-9","false","","3879d6db744bd48ab816601030b33587->ce2f912f8d1ca391bbaf7a6e9d7c9930=correl_spearman","0.76652205"
"correl_spearman","","copresence","3879d6db744bd48ab816601030b33587->495affe5e03fbab01286138422825790","3879d6db744bd48ab816601030b33587->495affe5e03fbab01286138422825790=correl_spearman","2.2637558494409404E-11","false","","3879d6db744bd48ab816601030b33587->495affe5e03fbab01286138422825790=correl_spearman","0.80518579"
"correl_spearman","","copresence","852ee79f580f682e828929768143ce27->85e997f4876be67d22760f08ef530bda","852ee79f580f682e828929768143ce27->85e997f4876be67d22760f08ef530bda=correl_spearman","1.446176511876729E-12","false","","852ee79f580f682e828929768143ce27->85e997f4876be67d22760f08ef530bda=correl_spearman","0.82755207"
"correl_spearman","","copresence","852ee79f580f682e828929768143ce27->7a2547884df39c5b81ba39997eecacdf","852ee79f580f682e828929768143ce27->7a2547884df39c5b81ba39997eecacdf=correl_spearman","2.667751575202715E-10","false","","852ee79f580f682e828929768143ce27->7a2547884df39c5b81ba39997eecacdf=correl_spearman","0.78161053"
"correl_spearman","","copresence","852ee79f580f682e828929768143ce27->ed8fa4e44ba531be98149a22ec314370","852ee79f580f682e828929768143ce27->ed8fa4e44ba531be98149a22ec314370=correl_spearman","2.667751575202715E-10","false","","852ee79f580f682e828929768143ce27->ed8fa4e44ba531be98149a22ec314370=correl_spearman","0.78161053"
"correl_spearman","","copresence","5045df3c7282cf02b43c2fed84344a38->ad63c3d7bf8d1866969553ab825bac12","5045df3c7282cf02b43c2fed84344a38->ad63c3d7bf8d1866969553ab825bac12=correl_spearman","1.3075318605615394E-11","false","","5045df3c7282cf02b43c2fed84344a38->ad63c3d7bf8d1866969553ab825bac12=correl_spearman","0.80995177"
"correl_spearman","","copresence","37f3cb65935168d33778f67025c27184->391c1f4fb66c294db7f2f064a9146359","37f3cb65935168d33778f67025c27184->391c1f4fb66c294db7f2f064a9146359=correl_spearman","4.961537380943071E-8","false","","37f3cb65935168d33778f67025c27184->391c1f4fb66c294db7f2f064a9146359=correl_spearman","0.71659857"
